COC_FECH,COC_FVTO,COC_PRNU,COC_PRNO,COC_PRDO,COC_PRTD,COC_TIVA,COC_COMP,COC_ASOC,COC_REMI,COC_TCOM,COC_ABEX,COC_CBTE,COC_VEND,OPE_OPER,COC_DEPO,COC_COPR,COC_STOC,COC_MPCO,COC_MCRE,COC_DTC,COC_NGRA,COC_NEXE,COC_NOTR,COC_NE27,COC_IV21,COC_IV10,COC_IV27,COC_IV50,COC_MO21,COC_MO10,COC_MO27,COC_NNGR,COC_PEIB,COC_TOTA,CFG_ID,COC_FREM,NUM_SUCU,COC_IVA,COC_CMIS,COC_DEST,COC_DEPR,COC_FACL,COC_OFID,COC_FCVD,TOBC,PER_01,XPERCII,PER_02,XPERCIVA,ORDEN,TGNU
2016-09-01,,541,ITALGAS S.A.                  ,30680922345  ,2,2,Fact A 0047-00006490,,,4,,,0,,0,0,0,0,0,0.0,0.0,0.0,1669.67,0.0,0.0,0.0,0.0,0.0,0.0,175.31,0.0,0.0,0.0,1932.63,0,,0,,,0,0.0,0,0,0,0.0,58.44,,29.21,,1,1
2016-09-01,,36,HELICTOR                      ,20152572183  ,2,2,Fact A 0002-00000360,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,5459.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.47,0.0,0.0,0.0,0.0,6605.84,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-01,,28,FOUCES S.A.                   ,30516359982  ,2,2,Fact A 0004-00008788,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,14473.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.46,0.0,0.0,0.0,0.0,18019.65,0,,0,,,0,0.0,0,0,0,0.0,506.58,,0.0,,1,1
2016-09-01,,591,CHORNY DM S.A.                ,30715082434  ,2,2,Fact A 0003-00000577,,,4,,,0, 1-BUENOS AIRES                    ,0,0,0,0,0,0.0,41045.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8619.56,0.0,0.0,0.0,0.0,49665.06,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-01,,169,SEGUTECNICA                   ,33629040019  ,2,2,Fact A 0014-00006660,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,118269.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24836.51,0.0,0.0,0.0,0.0,147245.01,0,,0,,,0,0.0,0,0,0,0.0,4139.42,,0.0,,1,1
2016-09-02,,107,LRS SRL                       ,30699167041  ,2,2,Fact A 0003-00000582,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,2780.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.91,0.0,0.0,0.0,0.0,3364.42,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-02,,5,ALAMBRES Y SOLDADURAS SA      ,30558257519  ,2,2,Fact A 1001-00021011,,,4,,,0,BUENOS AIRES 155116500CRI          ,0,0,0,0,0,0.0,146.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.79,0.0,0.0,0.0,0.0,177.39,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-02,,180,MAT SERVICE                   ,20143736130  ,2,2,Fact A 0005-00004176,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,210.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28,0.0,0.0,0.0,0.0,255.12,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-02,,233,TRANSPORTE AMERICANO          ,20177878996  ,2,2,Fact A 0004-00007777,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,37972.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7974.3,0.0,0.0,0.0,0.0,45947.16,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
2016-09-02,,135,CONFECAT SA                   ,30597919154  ,2,2,Fact A 0018-00053684,,,4,,,0,BS AS                              ,0,0,0,0,0,0.0,11382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.22,0.0,0.0,0.0,0.0,13772.22,0,,0,,,0,0.0,0,0,0,0.0,0.0,,0.0,,1,1
