COC_FECH,COC_FVTO,COC_PRNU,COC_PRNO,COC_PRDO,COC_PRTD,COC_TIVA,COC_COMP,COC_ASOC,COC_REMI,COC_TCOM,COC_ABEX,COC_CBTE,COC_VEND,OPE_OPER,COC_DEPO,COC_COPR,COC_STOC,COC_MPCO,COC_MCRE,COC_DTC,COC_NGRA,COC_NEXE,COC_NOTR,COC_NE27,COC_IV21,COC_IV10,COC_IV27,COC_IV50,COC_MO21,COC_MO10,COC_MO27,COC_NNGR,COC_PEIB,COC_TOTA,CFG_ID,COC_FREM,NUM_SUCU,COC_IVA,COC_CMIS,COC_DEST,COC_DEPR,COC_FACL,COC_OFID,COC_FCVD,W_ULTPRO,W_ULTFEC,W_ULTHOR,W_IDOR,W_IDHI,W_ORIG,W_STAT,TOBC,PER_01,XPERCIIB,ORDEN,TGNU
2025-12-01,,963,CENTENO HERNAN GABRIEL        ,20244920714  ,2,2,Fact A 0003-00003452,,,4,,,0,24-CAPITAL FEDERAL                 ,0,0,0,0,0,0.0,319330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67059.3,0.0,0.0,0.0,0.0,386389.3,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-01,,13,MERCAR S.R.L.                 ,30657117095  ,2,2,Fact A 0004-00097102,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,207562.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43588.14,0.0,0.0,0.0,0.0,251150.72,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-01,,233,TRANSPORTE AMERICANO          ,20177878996  ,2,2,Fact A 0004-00004348,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,1459698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306536.58,0.0,0.0,0.0,0.0,1766234.58,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,4
2025-12-01,,76,SAFI S.R.L.                   ,30650048764  ,2,2,Fact A 0031-00075697,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,101176.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21247.01,0.0,0.0,0.0,0.0,122423.25,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-01,,710,PRINSLEY SA                   ,30708140666  ,2,2,Fact A 0007-00076666,,,4,,,0, 3-SANTA FE                        ,0,0,0,0,0,0.0,0.0,0.0,69230.76,0.0,0.0,0.0,0.0,0.0,0.0,7269.23,0.0,0.0,0.0,76499.99,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-01,,214,ELECTROUNO SA                 ,30708007869  ,2,2,Fact A 0005-00043522,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,0.0,0.0,53260.68,0.0,0.0,0.0,0.0,0.0,0.0,5592.37,0.0,0.0,0.0,58853.05,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-02,,33,MAINCAL                       ,30503938517  ,2,2,Fact A 0005-00219960,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,10009883.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102075.45,0.0,0.0,0.0,0.0,12111958.55,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-02,,125,BUENOS AIRES WELDING SRL      ,30679666718  ,2,2,Fact A 0014-00006754,,,4,,,0, 1-BUENOS AIRES                    ,0,0,0,0,0,0.0,301526.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63320.64,0.0,0.0,0.0,0.0,364847.52,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-02,,616,GUIFORT SA                    ,30710524099  ,2,2,Fact A 0001-00009347,,,4,,,0, 1-BUENOS AIRES                    ,0,0,0,0,0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,0.0,0.0,0.0,0.0,302500.0,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-02,,462,PAPIERTTEI DE SOLAUT SA       ,30708691190  ,2,2,Fact A 0057-00026840,,,4,,,0,SANTA FE                           ,0,0,0,0,0,0.0,221159.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46443.55,0.0,0.0,0.0,0.0,267603.34,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
2025-12-02,,72,CREDIFIN LOGISTICA            ,30686978350  ,2,2,Fact A 2026-00016522,,,4,,,0, 1-BUENOS AIRES                    ,0,0,0,0,0,0.0,19578.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4111.49,0.0,0.0,0.0,0.0,23690.0,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,4
2025-12-02,,7,DE PASCALE S.A.               ,30707784292  ,2,2,Fact A 0021-00011386,,,4,,,0,BUENOS AIRES                       ,0,0,0,0,0,0.0,622501.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130725.4,0.0,0.0,0.0,0.0,753227.32,0,,0,,,0,0.0,0,0,0,0,,,0,0,0,,0.0,0.0,,1,1
