VTC_FECH,VTC_HORA,VTC_CLNU,VTC_CLNO,VTC_CLDO,VTC_CLTD,VTC_TIVA,VTC_COMP,VTC_TCOM,VTC_ABEX,VTC_CBTE,VTC_VEND,VTC_BASE,VTC_MONE,VTC_LIST,VTC_DTC,VTC_COST,VTC_NGRA,VTC_NEXE,VTC_NOTR,VTC_IV21,VTC_IV10,VTC_MO21,VTC_MO10,VTC_IVOT,VTC_NNGR,VTC_IVNO,VTC_NNIN,VTC_PEIB,VTC_TOTA,VTC_MP11,VTC_MP12,VTC_MP13,VTC_MP14,VTC_MP21,VTC_MP22,VTC_MP23,VTC_MP24,VTC_MP31,VTC_MP32,VTC_MP33,VTC_MP34,VTC_OBSE,VTC_FREM,OPE_OPER,VTC_NCAJ,CFG_ID,NUM_SUCU,VTC_LTRA,VTC_REPA,VTC_DEPO,VTC_OTOS,VTC_LACO,VTC_TDPO,VTC_TDMO,VTC_MESA,VTC_FLCO,VTC_CAE,VTC_COBS,VTC_CVTO,VTC_CPAG,VTC_CFIS,VTC_CFFS,VTC_CBAR,VTC_OFID,VTC_CGAS,VTC_CTAR,VTC_ORIG,CAR_CODI,OPE_PICK,PER_01,XPERCIIB,ORDEN,KEY
2022-12-01,,5481,ING ALBERTO REANO SA          ,30709117935  ,2,2,Fact A 0003-00046258,3,,,0,0,0,0,0.0,0.0,4797.64,0.0,0.0,0.0,0.0,1007.51,0.0,0.0,0.0,0.0,0.0,0.0,5925.09,,,0.0,0,,,0.0,0,,,0.0,0,,, 1-BUENOS AIRES                    ,0,181374,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,119.94,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046259,3,,,0,0,0,0,0.0,0.0,0.0,0.0,1127960.0,0.0,0.0,0.0,118435.8,0.0,0.0,0.0,0.0,0.0,1246395.8,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181398,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046260,3,,,0,0,0,0,0.0,0.0,115716.17,0.0,0.0,0.0,0.0,24300.4,0.0,0.0,0.0,0.0,0.0,0.0,140016.57,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181401,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046261,3,,,0,0,0,0,0.0,0.0,403859.54,0.0,0.0,0.0,0.0,84810.5,0.0,0.0,0.0,0.0,0.0,0.0,488670.04,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181403,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046262,3,,,0,0,0,0,0.0,0.0,1111317.95,0.0,0.0,0.0,0.0,233376.77,0.0,0.0,0.0,0.0,0.0,0.0,1344694.72,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181404,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046263,3,,,0,0,0,0,0.0,0.0,694447.17,0.0,65304.34,0.0,0.0,145833.91,6856.96,0.0,0.0,0.0,0.0,0.0,912442.38,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181407,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,1050,NOVOBRA SA                    ,30502404853  ,2,2,Fact A 0003-00046264,3,,,0,0,0,0,0.0,0.0,80828.87,0.0,0.0,0.0,0.0,16974.06,0.0,0.0,0.0,0.0,0.0,0.0,98045.42,,,0.0,0,,,0.0,0,,,0.0,0,,,SANTA FE                           ,0,181408,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,242.49,,1,20221201000323
2022-12-01,,5,PEREYRA  Y REYNA SH.          ,30667174097  ,2,2,Fact A 0003-00046265,3,,,0,0,0,0,0.0,0.0,636369.27,0.0,0.0,0.0,0.0,133637.55,0.0,0.0,0.0,0.0,0.0,0.0,770006.82,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181411,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
2022-12-01,,25,IND.MET.CESTARI SRL           ,30501986301  ,2,2,Fact A 0003-00046266,3,,,0,0,0,0,0.0,0.0,293139.39,0.0,0.0,0.0,0.0,61559.27,0.0,0.0,0.0,0.0,0.0,0.0,359095.75,,,0.0,0,,,0.0,0,,,0.0,0,,,BUENOS AIRES                       ,0,181434,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,4397.09,,1,20221201000323
2022-12-01,,1071,GEC SA                        ,30707441956  ,2,2,Fact A 0003-00046267,3,,,0,0,0,0,0.0,0.0,2783458.5,0.0,0.0,0.0,0.0,584526.29,0.0,0.0,0.0,0.0,0.0,0.0,3367984.79,,,0.0,0,,,0.0,0,,,0.0,0,,,SANTA FE                           ,0,181450,0,0,0,0,,0,0.0,0.0,0,,,,,,,,,0,,,0,0,,0.0,,1,20221201000323
